Metric,Group 1,Group 2,p-value
FWHM,25 DS,50 DS,0.9178738788876126
FWHM,25 VS,50 VS,0.2773978561612893
FWHM,25 DS,100 DS,0.7414307790809906
FWHM,25 VS,100 VS,0.11701152234534237
FWHM,25 DS,250 DS,0.7966032079051237
FWHM,25 VS,250 VS,0.9506683538315899
FWHM,50 DS,100 DS,0.8852277279487824
FWHM,50 VS,100 VS,0.37910364525873563
FWHM,50 DS,250 DS,0.8446988486564181
FWHM,50 VS,250 VS,0.03619909582520166
FWHM,100 DS,250 DS,0.3428467328956851
FWHM,100 VS,250 VS,3.4323514490498846e-05
FWHM,25 DS,25 VS,0.5412115951035342
FWHM,50 DS,50 VS,0.7530628611735322
FWHM,100 DS,100 VS,0.6849729155014805
FWHM,250 DS,250 VS,0.7468052377489425
FWHM,25 VS,25 DS,0.5412115951035342
FWHM,50 VS,50 DS,0.7530628611735322
FWHM,100 VS,100 DS,0.6849729155014805
FWHM,250 VS,250 DS,0.7468052377489425
Peak Amplitude,25 DS,50 DS,0.11003784368397301
Peak Amplitude,25 VS,50 VS,0.0012643760635436172
Peak Amplitude,25 DS,100 DS,0.0035264511361864353
Peak Amplitude,25 VS,100 VS,1.4219752405371168e-10
Peak Amplitude,25 DS,250 DS,0.00032051420585046416
Peak Amplitude,25 VS,250 VS,9.61061463372596e-12
Peak Amplitude,50 DS,100 DS,0.14039944873478252
Peak Amplitude,50 VS,100 VS,1.0297987251659785e-05
Peak Amplitude,50 DS,250 DS,0.022698494819383522
Peak Amplitude,50 VS,250 VS,9.591205264410312e-10
Peak Amplitude,100 DS,250 DS,0.3481446249530621
Peak Amplitude,100 VS,250 VS,0.001427910431580431
Peak Amplitude,25 DS,25 VS,1.9702736837109186e-05
Peak Amplitude,50 DS,50 VS,5.082376815502495e-06
Peak Amplitude,100 DS,100 VS,9.494520828550197e-10
Peak Amplitude,250 DS,250 VS,6.253285284231886e-10
Peak Amplitude,25 VS,25 DS,1.9702736837109186e-05
Peak Amplitude,50 VS,50 DS,5.082376815502495e-06
Peak Amplitude,100 VS,100 DS,9.494520828550197e-10
Peak Amplitude,250 VS,250 DS,6.253285284231886e-10
Rise Rate,25 DS,50 DS,0.02809244526539436
Rise Rate,25 VS,50 VS,2.51094986833766e-05
Rise Rate,25 DS,100 DS,0.00015451018474271972
Rise Rate,25 VS,100 VS,9.035829706928751e-11
Rise Rate,25 DS,250 DS,4.477855916866232e-06
Rise Rate,25 VS,250 VS,9.61061463372596e-12
Rise Rate,50 DS,100 DS,0.09693818842839903
Rise Rate,50 VS,100 VS,1.3179017770291546e-05
Rise Rate,50 DS,250 DS,0.0015502078583888577
Rise Rate,50 VS,250 VS,2.6586987787901396e-10
Rise Rate,100 DS,250 DS,0.07790381462085116
Rise Rate,100 VS,250 VS,0.0017171331294907684
Rise Rate,25 DS,25 VS,6.899523103317425e-05
Rise Rate,50 DS,50 VS,2.0971753555435933e-07
Rise Rate,100 DS,100 VS,2.9801644030612386e-10
Rise Rate,250 DS,250 VS,6.94422723811222e-10
Rise Rate,25 VS,25 DS,6.899523103317425e-05
Rise Rate,50 VS,50 DS,2.0971753555435933e-07
Rise Rate,100 VS,100 DS,2.9801644030612386e-10
Rise Rate,250 VS,250 DS,6.94422723811222e-10
Decay Rate,25 DS,50 DS,0.6575324631990798
Decay Rate,25 VS,50 VS,0.0004918422150639013
Decay Rate,25 DS,100 DS,0.16397493056101187
Decay Rate,25 VS,100 VS,3.598252866090332e-11
Decay Rate,25 DS,250 DS,0.006698271306476066
Decay Rate,25 VS,250 VS,9.897227339357873e-11
Decay Rate,50 DS,100 DS,0.19041652022672817
Decay Rate,50 VS,100 VS,5.852075761615854e-06
Decay Rate,50 DS,250 DS,0.0026983832217602147
Decay Rate,50 VS,250 VS,5.4082211062843985e-09
Decay Rate,100 DS,250 DS,0.08892020657765105
Decay Rate,100 VS,250 VS,0.00031192365095985446
Decay Rate,25 DS,25 VS,0.0205279335048606
Decay Rate,50 DS,50 VS,1.0225538461208755e-05
Decay Rate,100 DS,100 VS,1.063210377072904e-08
Decay Rate,250 DS,250 VS,2.391895730601542e-09
Decay Rate,25 VS,25 DS,0.0205279335048606
Decay Rate,50 VS,50 DS,1.0225538461208755e-05
Decay Rate,100 VS,100 DS,1.063210377072904e-08
Decay Rate,250 VS,250 DS,2.391895730601542e-09
AUC,25 DS,50 DS,0.3808478181551693
AUC,25 VS,50 VS,0.7886306148175181
AUC,25 DS,100 DS,0.9424675874144188
AUC,25 VS,100 VS,0.029325393369459454
AUC,25 DS,250 DS,0.6575324631990798
AUC,25 VS,250 VS,0.0010419858579994636
AUC,50 DS,100 DS,0.4768500218436187
AUC,50 VS,100 VS,0.06105623864910057
AUC,50 DS,250 DS,0.8446988486564181
AUC,50 VS,250 VS,0.005334074544318989
AUC,100 DS,250 DS,0.4768500218436187
AUC,100 VS,250 VS,0.09458730998544589
AUC,25 DS,25 VS,0.2519815432674237
AUC,50 DS,50 VS,0.7593776799601862
AUC,100 DS,100 VS,0.010036774370745884
AUC,250 DS,250 VS,0.006458059494889486
AUC,25 VS,25 DS,0.2519815432674237
AUC,50 VS,50 DS,0.7593776799601862
AUC,100 VS,100 DS,0.010036774370745884
AUC,250 VS,250 DS,0.006458059494889486
